datetime,ur/h,usv/h,t,p0,humid,windspd,Td,rrr,mm24,mm48
23.10.2018 12:00,106.24,0.53,18.2,735.4,60,3,10.2,0,0,0
23.10.2018 15:00,105,0.53,18.1,734.7,59,1,9.9,0,0,0
23.10.2018 18:00,107.92,0.54,16,734.2,66,0,9.5,0,0,0
23.10.2018 21:00,111.06,0.57,13.9,733.6,77,1,9.9,0,0,0
24.10.2018 0:00,115.41,0.57,12.2,732.4,79,1,8.7,0,0,0
24.10.2018 3:00,112.43,0.55,12.4,730.3,78,3,8.6,0,0,0
24.10.2018 6:00,108.97,0.55,10.7,730.4,85,1,8.2,0,0,3
24.10.2018 9:00,112.11,0.56,13.3,729.1,73,2,8.6,0,0,3
24.10.2018 12:00,109,0.55,18.5,725.9,51,6,8.2,0,0,3
24.10.2018 15:00,112.21,0.56,18.4,723.3,55,5,9.1,0,0,3
24.10.2018 18:00,111.95,0.58,14.5,722.7,71,2,9.2,0,0,3
24.10.2018 21:00,113.47,0.56,11.3,722.4,82,0,8.3,0,0,3
25.10.2018 0:00,115.41,0.58,11.1,721.3,81,0,7.9,0,0,3
25.10.2018 3:00,116.87,0.57,9.9,719.4,86,1,7.7,0,0,3
25.10.2018 6:00,111.7,0.55,10.7,718.9,86,1,8.4,0,3,3
25.10.2018 9:00,109.63,0.57,12.8,719.1,80,1,9.4,0,3,3
25.10.2018 12:00,109.92,0.54,15.6,720.4,70,2,10.1,0,3,3
25.10.2018 15:00,111.54,0.56,15.5,720.4,63,2,8.5,0,3,3
25.10.2018 18:00,113.92,0.56,11.5,722.7,77,3,7.6,0,3,3
25.10.2018 21:00,107.22,0.53,7.5,725,87,5,5.5,0,3,3
26.10.2018 0:00,105.06,0.53,6.7,726.1,82,3,3.8,0,3,3
26.10.2018 3:00,107.95,0.54,6.3,727.2,81,3,3.3,0,3,3
26.10.2018 6:00,105.76,0.51,6.8,728,71,5,1.8,3,3,3
26.10.2018 9:00,102.43,0.52,7.9,730.3,69,1,2.6,0,0,0
26.10.2018 12:00,102.14,0.51,12.2,730.6,45,4,0.5,0,0,0
26.10.2018 15:00,106.48,0.53,11.4,731.1,52,2,1.7,0,0,0
26.10.2018 18:00,104.14,0.53,7.3,731.8,69,1,2,0,0,0
26.10.2018 21:00,104.46,0.51,5.7,732.1,74,2,1.4,0,0,0
27.10.2018 0:00,100.97,0.5,7.7,734.4,69,3,2.3,0,0,0
27.10.2018 3:00,100.59,0.52,7.7,736,68,5,2,0,0,0
27.10.2018 6:00,108.11,0.55,6.7,737.8,70,4,1.5,0,0,0
27.10.2018 9:00,109.03,0.54,9.5,740.2,62,5,2.6,0,0,0
27.10.2018 12:00,107.86,0.55,13.8,741.1,43,3,1.2,0,0,0
27.10.2018 15:00,112.62,0.56,15,741.3,36,1,-0.1,0,0,0
27.10.2018 18:00,112.27,0.56,11.9,742.4,46,0,0.5,0,0,0
27.10.2018 21:00,110.91,0.55,6.3,742.8,70,0,1.1,0,0,0
28.10.2018 0:00,109.76,0.54,2.1,743.5,85,0,-0.2,0,0,0
28.10.2018 3:00,106.14,0.53,0.5,743.6,90,1,-1,0,0,0
28.10.2018 6:00,105.22,0.53,-0.8,743.7,92,1,-2,0,0,0
28.10.2018 9:00,108.3,0.54,7.4,743.9,67,0,1.7,0,0,0
28.10.2018 12:00,104.27,0.52,17.3,743,29,4,-1.1,0,0,0
28.10.2018 15:00,100.24,0.49,19,742.7,25,2,-1.3,0,0,0
28.10.2018 18:00,97.25,0.5,13.1,743.2,40,2,-0.3,0,0,0
28.10.2018 21:00,101.22,0.51,9.1,743.3,53,2,-0.1,0,0,0
29.10.2018 0:00,104.17,0.53,3,743.6,77,0,-0.6,0,0,0
29.10.2018 3:00,109.29,0.55,1,743.3,85,0,-1.3,0,0,0
29.10.2018 6:00,111.73,0.56,0.5,743.2,87,0,-1.5,0,0,0
29.10.2018 9:00,113.7,0.58,8.4,743.5,59,0,0.7,0,0,0
29.10.2018 12:00,112.84,0.56,22.9,742,22,2,-0.2,0,0,0
29.10.2018 15:00,112.81,0.55,23.5,741.4,19,3,-1.2,0,0,0
29.10.2018 18:00,110.53,0.56,15.9,742,33,1,-0.6,0,0,0
29.10.2018 21:00,111.16,0.55,12.3,742.3,43,2,0.1,0,0,0
30.10.2018 0:00,117.67,0.59,8.6,742.2,56,2,0.3,0,0,0
30.10.2018 3:00,115.92,0.59,2,741.9,80,0,-1.1,0,0,0
30.10.2018 6:00,117.38,0.58,0.5,742.3,86,0,-1.6,0,0,0.6
30.10.2018 9:00,117.54,0.58,7.8,742.4,60,0,0.5,0,0,0.6
30.10.2018 12:00,112.59,0.55,20.2,741.7,29,4,1.6,0,0,0.6
30.10.2018 15:00,102.97,0.49,20.4,741.4,30,4,2,0,0,0.6
30.10.2018 18:00,95.98,0.48,14.2,742.2,58,3,5.9,0,0,0.9
30.10.2018 21:00,94.56,0.48,9.5,743.6,86,3,7.3,0,0,0.9
31.10.2018 0:00,94.9,0.47,8.6,743.5,93,3,7.5,0,0,0.9
31.10.2018 3:00,97.92,0.5,10.7,744,76,5,6.6,0,0,0.9
31.10.2018 6:00,100.33,0.51,10.8,744.6,79,4,7.2,0,0.6,0.9
31.10.2018 9:00,101.95,0.5,11.5,745.3,75,4,7.2,0,0.6,0.9
31.10.2018 12:00,101.6,0.52,13.4,745.6,70,5,7.9,0,0.6,0.9
31.10.2018 15:00,106.14,0.54,9.1,746.4,94,6,8.1,0,0.6,0.9
31.10.2018 18:00,109.29,0.55,7.9,747.3,94,5,7,0,0.9,0.9
31.10.2018 21:00,113.22,0.57,8.4,747.6,94,5,7.5,0,0.9,0.9
01.11.2018 0:00,114.94,0.58,7.1,747.7,94,5,6.2,0,0.9,0.9
01.11.2018 3:00,112.62,0.57,6.8,747.8,95,6,6,0,0.9,0.9
01.11.2018 6:00,112.97,0.55,6.6,748.3,95,4,5.8,0.6,0.9,0.9
01.11.2018 9:00,112.2,0.57,7,749.3,93,5,5.9,0,0.3,0.3
01.11.2018 12:00,114.68,0.57,7.4,749.5,92,6,6.1,0,0.3,0.3
01.11.2018 15:00,116.27,0.58,8.7,749.2,84,6,6.2,0,0.3,0.3
01.11.2018 18:00,115.03,0.56,9,749.2,82,6,6.1,0.3,0.3,0.3
01.11.2018 21:00,114.67,0.58,8.4,749.3,81,6,5.3,0,0,0
02.11.2018 0:00,119.44,0.59,7.3,749.3,86,7,5.1,0,0,0
02.11.2018 3:00,112.87,0.56,7.7,748.7,85,6,5.3,0,0,0
02.11.2018 6:00,114.49,0.57,7.6,748.2,90,5,6,0,0,0
02.11.2018 9:00,116.11,0.57,7.9,748.6,76,4,3.9,0,0,0
02.11.2018 12:00,114.59,0.58,9.5,748.5,74,6,5,0,0,0
02.11.2018 15:00,118.69,0.58,11.2,747.7,67,5,5.3,0,0,0
02.11.2018 18:00,114.3,0.58,10.3,747.7,71,3,5.3,0,0,0
02.11.2018 21:00,115.76,0.58,9.9,747.6,71,5,4.8,0,0,0
03.11.2018 0:00,116.08,0.58,8.7,747.4,72,4,3.8,0,0,0
03.11.2018 3:00,113.6,0.54,7.6,746.8,76,2,3.5,0,0,0
03.11.2018 6:00,103.73,0.52,6.1,746.7,82,2,3.3,0,0,0
03.11.2018 9:00,99.86,0.49,6.3,747,80,3,3.1,0,0,0
03.11.2018 12:00,98.24,0.48,10.4,746.5,65,2,4.1,0,0,0
03.11.2018 15:00,96.4,0.48,11.3,745.8,64,2,4.7,0,0,0
03.11.2018 18:00,97.8,0.5,8.4,745.5,75,1,4.1,0,0,0
03.11.2018 21:00,95.19,0.47,3.9,745,93,2,2.8,0,0,0
04.11.2018 0:00,93.98,0.48,0.8,697.6,92,1,-0.3,0,0,0
04.11.2018 3:00,94.36,0.46,-1,744.1,96,0,-1.6,0,0,0
04.11.2018 6:00,93.1,0.47,0.3,743.5,96,1,-0.2,0,0,0
04.11.2018 9:00,96.71,0.48,0.9,743.3,97,0,0.4,0,0,0
04.11.2018 12:00,94.4,0.47,7.3,716.7,81,1,4.2,0,0,0
04.11.2018 15:00,94.65,0.47,15.4,740.2,49,1,4.6,0,0,0
04.11.2018 18:00,94.56,0.48,7.5,739.9,75,1,3.4,0,0,0
04.11.2018 21:00,94.97,0.5,3,739.7,87,1,1.1,0,0,0
05.11.2018 0:00,109.38,0.55,1.3,738.9,85,1,-0.9,0,0,0
05.11.2018 3:00,112.04,0.57,-0.8,739.2,90,1,-2.3,0,0,0
05.11.2018 6:00,110.62,0.55,-0.7,739.6,90,1,-2.2,0,0,0
05.11.2018 9:00,108.11,0.52,5.6,740.4,70,1,0.5,0,0,0
05.11.2018 12:00,100.4,0.5,13.9,740,56,2,5.1,0,0,0
05.11.2018 15:00,101.57,0.5,12.8,740.1,62,3,5.7,0,0,0
05.11.2018 18:00,98.3,0.49,10.8,740.7,67,3,4.9,0,0,0
05.11.2018 21:00,105.47,0.57,8.9,741.6,81,4,5.7,0,0,0
06.11.2018 0:00,123,0.66,6.6,742,91,3,5.2,0,0,0
06.11.2018 3:00,144.21,0.71,5.4,742,91,3,4,0,0,0
06.11.2018 6:00,140.05,0.7,5.6,742.1,90,2,4,0,0,0
06.11.2018 9:00,137.73,0.68,5.4,742.9,88,4,3.5,0,0,0
06.11.2018 12:00,120.49,0.57,7.1,742.5,76,5,3.1,0,0,0
06.11.2018 15:00,108.62,0.54,8.7,742,71,4,3.6,0,0,0
06.11.2018 18:00,105.32,0.52,7.8,742.2,74,3,3.4,0,0,0
06.11.2018 21:00,106.24,0.53,6.8,742,77,4,3,0,0,0
07.11.2018 0:00,106.21,0.54,3.7,742,78,2,0.2,0,0,0
07.11.2018 3:00,107.38,0.54,3.5,742,88,3,1.6,0,0,0
07.11.2018 6:00,113.44,0.54,4.2,742.3,86,3,2.1,0,0,0
07.11.2018 9:00,101.29,0.52,5.8,742.6,80,5,2.6,0,0,0
07.11.2018 12:00,103.79,0.51,9.6,742,57,6,1.5,0,0,0
07.11.2018 15:00,99.03,0.49,9.7,741.2,55,5,1,0,0,0
07.11.2018 18:00,97.41,0.49,6.6,741.6,68,3,1.1,0,0,0
07.11.2018 21:00,97.54,0.49,4.7,741.2,77,3,1,0,0,0
08.11.2018 0:00,94.02,0.47,4,741,80,3,0.9,0,0,0
