datetime,t,p0,humid,windspd,Td,rrr,mm24,mm48
19.08.2019 00:00,16.9,681.1,91,2,15.4,0,0,0
19.08.2019 03:00,16.6,681.4,93,1,15.5,0,0,0
19.08.2019 06:00,15.4,682.3,96,1,14.7,0,0,0
19.08.2019 09:00,23.1,682.6,65,0,16.2,0,0,0
19.08.2019 12:00,24.6,683.0,57,1,15.6,0,0,0
19.08.2019 15:00,25.3,683.2,56,1,15.9,0,0,0
19.08.2019 18:00,24.5,683.5,57,2,15.5,0,0,0
19.08.2019 21:00,20.0,684.2,70,2,14.4,0,0,0
20.08.2019 00:00,18.6,683.8,79,1,14.9,0,0,0
20.08.2019 03:00,18.2,683.8,78,1,14.2,0,0,0
20.08.2019 06:00,17.1,684.2,81,2,13.8,0,0,0
20.08.2019 09:00,22.9,684.4,60,1,14.7,0,0,0
20.08.2019 12:00,28.1,683.8,46,1,15.5,0,0,0
20.08.2019 15:00,27.4,683.8,50,0,16.0,0,0,0
20.08.2019 18:00,24.7,683.9,60,2,16.5,0,0,0
20.08.2019 21:00,21.1,684.0,72,2,15.9,0,0,0
21.08.2019 00:00,18.0,684.2,85,1,15.5,0,0,0
21.08.2019 03:00,17.0,683.6,85,2,14.5,0,0,0
21.08.2019 06:00,16.6,683.2,89,1,14.8,0,0,0
21.08.2019 09:00,24.8,682.9,60,1,16.6,0,0,0
21.08.2019 12:00,29.1,682.1,48,2,17.0,0,0,0
21.08.2019 15:00,29.4,681.4,45,3,16.2,0,0,0
21.08.2019 18:00,25.7,681.4,60,0,17.4,0,0,0
21.08.2019 21:00,20.8,681.3,78,2,16.9,0,0,0
22.08.2019 00:00,20.5,680.8,76,2,16.1,0,0,0
22.08.2019 03:00,18.1,680.3,82,2,15.0,0,0,0
22.08.2019 06:00,16.9,680.6,91,2,15.4,0,0,0
22.08.2019 09:00,25.9,680.5,49,1,14.3,0,0,0
22.08.2019 12:00,28.3,680.1,42,1,14.3,0,0,0
22.08.2019 15:00,26.6,680.9,33,3,9.2,0,0,0
22.08.2019 18:00,23.8,680.9,51,2,13.0,0,0,0
22.08.2019 21:00,20.0,681.7,53,4,10.1,0,0,0
23.08.2019 00:00,18.2,681.3,62,3,10.7,0,0,0
23.08.2019 03:00,16.9,681.1,64,1,10.0,0,0,0
23.08.2019 06:00,15.1,681.6,73,1,10.2,0,0,0
23.08.2019 09:00,24.6,681.4,36,1,8.4,0,0,0
23.08.2019 12:00,28.3,681.1,27,1,7.8,0,0,0
23.08.2019 15:00,28.0,681.1,28,1,7.8,0,0,0
23.08.2019 18:00,26.5,681.5,33,2,8.8,0,0,0
23.08.2019 21:00,17.7,682.3,69,2,11.8,0,0,0
24.08.2019 00:00,16.2,682.0,72,2,11.1,0,0,0
24.08.2019 03:00,15.5,681.7,75,2,11.1,0,0,0
24.08.2019 06:00,16.1,682.0,72,1,11.1,0,0,0
24.08.2019 09:00,24.9,681.9,48,1,13.1,0,0,3
24.08.2019 12:00,28.8,681.4,34,1,11.4,0,0,3
24.08.2019 15:00,26.9,681.8,40,1,12.0,0,0,3
24.08.2019 18:00,22.5,682.5,61,2,14.6,0,0,3
24.08.2019 21:00,20.7,683.6,65,2,13.9,0,0,3
25.08.2019 00:00,20.3,682.8,55,1,10.9,0,0,3
25.08.2019 03:00,17.3,682.3,70,2,11.7,0,0,3
25.08.2019 06:00,18.3,683.2,63,3,11.0,0,0,3
25.08.2019 09:00,20.5,683.1,61,1,12.8,0,3,3
25.08.2019 12:00,24.8,682.6,46,1,12.5,0,3,3
25.08.2019 15:00,26.3,682.4,43,2,12.8,0,3,3
25.08.2019 18:00,20.9,683.1,71,2,15.5,0,3,3
25.08.2019 21:00,16.5,684.1,90,2,14.9,0,3,3
26.08.2019 00:00,15.0,684.9,96,1,14.4,0,3,3
26.08.2019 03:00,15.1,684.8,97,0,14.6,0,3,3
26.08.2019 06:00,13.8,685.6,97,1,13.3,3,3,3
26.08.2019 09:00,17.9,686.2,81,1,14.5,0,0,0
26.08.2019 12:00,21.7,686.1,55,2,12.2,0,0,0
26.08.2019 15:00,22.7,686.0,44,3,9.8,0,0,0
26.08.2019 18:00,22.0,685.8,41,2,8.0,0,0,0
26.08.2019 21:00,15.6,685.9,66,3,9.2,0,0,0
27.08.2019 00:00,16.4,684.7,64,5,9.5,0,0,0
27.08.2019 03:00,15.8,684.1,66,4,9.5,0,0,0
27.08.2019 06:00,16.3,683.6,60,3,8.5,0,0,0
27.08.2019 09:00,21.0,683.2,51,3,10.4,0,0,0
27.08.2019 12:00,23.7,682.7,45,4,11.0,0,0,0
27.08.2019 15:00,24.4,682.6,41,3,10.3,0,0,0
27.08.2019 18:00,22.3,682.7,51,2,11.6,0,0,0
27.08.2019 21:00,17.1,683.3,73,2,12.2,0,0,0
28.08.2019 00:00,14.3,683.5,86,2,12.0,0,0,0
28.08.2019 03:00,12.8,683.4,88,2,10.9,0,0,0
28.08.2019 06:00,11.8,683.9,77,1,7.9,0,0,0
28.08.2019 09:00,21.6,683.9,43,1,8.4,0,0,0
28.08.2019 12:00,25.0,683.7,40,2,10.4,0,0,0
28.08.2019 15:00,25.6,683.5,31,1,7.4,0,0,0
28.08.2019 18:00,22.8,684.0,37,1,7.2,0,0,0
28.08.2019 21:00,16.8,685.3,59,1,8.7,0,0,0
29.08.2019 00:00,12.5,685.2,69,2,6.9,0,0,0
29.08.2019 03:00,11.7,685.0,70,2,6.3,0,0,0
29.08.2019 06:00,9.6,685.1,81,1,6.4,0,0,0
29.08.2019 09:00,17.4,685.2,53,1,7.6,0,0,0
29.08.2019 12:00,22.9,684.4,39,2,8.0,0,0,0
29.08.2019 15:00,22.0,684.6,36,2,6.0,0,0,0
29.08.2019 18:00,18.7,684.7,45,2,6.4,0,0,0
29.08.2019 21:00,14.4,684.8,55,4,5.3,0,0,0
30.08.2019 00:00,12.0,684.1,58,5,3.9,0,0,0
30.08.2019 03:00,11.1,683.2,57,3,2.8,0,0,0
30.08.2019 06:00,8.4,682.9,83,0,5.7,0,0,0
30.08.2019 09:00,17.6,683.0,49,2,6.6,0,0,0
